Time,Roll,Pitch,Yaw,Voltage
451657,0.02,0.01,1.90,0.05
451662,0.02,0.01,1.90,0.05
451670,0.02,0.01,1.89,0.05
451677,0.02,0.01,1.89,0.05
451682,0.02,0.01,1.89,0.05
451689,0.02,-0.00,1.89,0.05
451693,0.02,-0.00,1.89,0.05
451700,0.02,-0.00,1.90,0.05
451707,0.02,-0.00,1.91,0.05
451713,0.02,-0.00,1.91,0.05
451720,0.02,-0.00,1.91,0.05
451727,0.02,-0.00,1.92,0.05
451731,0.02,-0.00,1.92,0.05
451738,0.02,-0.00,1.93,0.05
451743,0.02,-0.00,1.93,0.05
451750,0.02,-0.00,1.93,0.05
451758,0.02,-0.00,1.94,0.05
451763,0.02,-0.00,1.94,0.05
451770,0.02,-0.00,1.94,0.05
451777,0.03,-0.00,1.94,0.05
451781,0.03,-0.00,1.94,0.05
451788,0.03,-0.00,1.93,0.05
451793,0.03,-0.00,1.93,0.05
451801,0.03,-0.00,1.93,0.05
451808,0.03,-0.00,1.92,0.05
451813,0.03,-0.00,1.92,0.05
451820,0.04,0.01,1.91,0.05
451827,0.03,0.01,1.91,0.05
451831,0.03,0.01,1.91,0.05
451838,0.03,0.01,1.90,0.05
451844,0.03,0.01,1.90,0.05
451851,0.03,0.01,1.89,0.05
451858,0.03,0.01,1.89,0.05
451863,0.03,0.01,1.89,0.05
451870,0.03,0.01,1.90,0.05
451877,0.02,0.01,1.90,0.05
451881,0.02,0.01,1.90,0.05
451889,0.02,0.01,1.91,0.05
451894,0.02,0.01,1.91,0.05
451901,0.02,0.01,1.91,0.05
451908,0.02,0.01,1.92,0.05
451913,0.02,0.01,1.92,0.05
451920,0.02,-0.00,1.93,0.05
451928,0.02,0.01,1.94,0.05
451932,0.02,0.01,1.94,0.05
451939,0.02,0.01,1.94,0.05
451946,0.03,0.01,1.94,0.05
451951,0.03,0.01,1.94,0.05
451958,0.03,0.01,1.94,0.05
451963,0.03,0.01,1.94,0.05
451971,0.03,0.01,1.94,0.05
451978,0.03,0.01,1.93,0.05
451982,0.03,0.01,1.93,0.05
451990,0.03,0.01,1.92,0.05
451997,0.03,0.01,1.91,0.05
452001,0.03,0.01,1.91,0.05
452008,0.03,0.01,1.91,0.05
452014,0.03,0.01,1.91,0.05
452021,0.04,0.01,1.90,0.05
452028,0.05,0.01,1.90,0.05
452033,0.05,0.01,1.90,0.05
452040,0.06,0.01,1.89,0.05
452047,0.05,0.01,1.90,0.05
452051,0.05,0.01,1.90,0.05
452059,0.04,0.02,1.90,0.05
452064,0.04,0.02,1.90,0.05
452071,0.04,0.02,1.91,0.05
452078,0.03,0.02,1.91,0.05
452083,0.03,0.02,1.91,0.05
452090,0.02,0.01,1.92,0.08
452098,0.02,0.01,1.93,0.05
452102,0.02,0.01,1.93,0.05
452109,0.04,0.01,1.93,0.05
452116,0.05,0.01,1.94,0.05
452121,0.05,0.01,1.94,0.05
452128,0.06,0.01,1.94,0.05
452133,0.06,0.01,1.94,0.05
452141,0.05,0.01,1.94,0.05
452148,0.05,0.01,1.94,0.05
452153,0.05,0.01,1.94,0.05
452160,0.04,0.01,1.93,0.05
452167,0.04,0.01,1.93,0.05
452171,0.04,0.01,1.93,0.05
452178,0.03,0.02,1.92,0.05
452184,0.03,0.02,1.92,0.05
452191,0.03,0.02,1.91,0.05
452198,0.03,0.02,1.91,0.05
452203,0.03,0.02,1.91,0.05
452210,0.04,0.02,1.91,0.05
452217,0.04,0.02,1.91,0.05
452221,0.04,0.02,1.91,0.05
452229,0.04,0.02,1.91,0.08
452234,0.04,0.02,1.91,0.05
452241,0.04,0.02,1.91,0.05
452248,0.04,0.01,1.91,0.05
452253,0.04,0.01,1.91,0.05
452260,0.04,0.01,1.92,0.05
452268,0.04,0.01,1.93,0.05
452272,0.04,0.01,1.93,0.05
452279,0.04,0.01,1.94,0.05
452286,0.04,0.01,1.94,0.05
452291,0.04,0.01,1.94,0.05
452298,0.04,0.01,1.94,0.05
452303,0.04,0.01,1.94,0.05
